Description,Market,Names,No_Stage_Amount,No_Stage_Date,Pitch,Seed_Amount,Seed_Date,Series_A_Amount,Series_A_Date,Series_B_Amount,Series_B_Date,Series_C_Amount,Series_C_Date,Series_D_Amount,Series_D_Date,Stage
"“Created with NationBuilder.” It’s a phrase you’ll find on the websites of trailblazing political campaigns, nonprofits, advocacy groups, as well as brands, governments, and universities across 98 countries. At NationBuilder, we are fiercely committed to serving leaders. That means we align our software, people, and culture around helping our customers succeed. It’s hard, humbling work, and we’ve assembled an extraordinary team to move it forward.",,NationBuilder,,,Software for Leaders,"$500,000","May 11, 2011","$6,250,000","Mar  8, 2012","$8,000,000","Jun  6, 2013",,,,,
,Customer Service,Vobile,"$268,200","Feb 25, 2014",,,,"$10,000,000","Nov  1, 2007",,,"$9,000,000","Jan  9, 2014",,,Series A
,Business Services,xMatters,"$3,000,000","Aug 21, 2007",,,,,,,,"$4,500,000","Aug 21, 2007",,,Series C
"A global start-up, Balluun has headquarters in Switzerland and conducts its groundbreaking technology development in Silicon Valley. From its offices in Foster City, California, Balluun is dedicated to bringing the versatility of web and mobile applications to the traditional tradeshow experience. Developed for the tradeshow industry, Balluun builds a digital platform that offers year-round transactional opportunities for exhibitors and attendees and increased revenue streams for tradeshow organizers. With our platform, tradeshows can offer their attendees a unique experience with state-of-the-art technology and a completely customizable application.… · More Tradeshows give attendees the opportunity to network and discover new brands. Users who maintain their presence on the application will find that they can stay in touch with the contacts they made at the show and follow up with additional orders, questions, and comments.",B2B,Balluun,,,Mobile technology for tradeshows,"$270,000","Nov 10, 2009","$3,300,000","Nov 10, 2012","$8,700,000","Jul 23, 2013",,,,,Seed
,-,Hookipa-Biotech,,,,,,"$9,600,000","Oct 18, 2011","$25,700,000","Nov  4, 2013",,,,,-
,,Fixmo,"$1,500,000","Feb  1, 2010",,,,,,"$6,500,000","Jun  1, 2011","$23,000,000","Nov 28, 2011",,,
"At YouNow, we believe in the unlimited potential of human creativity. In fact, it’s why we come to work every day - to create a powerful platform where anyone can broadcast and express themselves in front of a vast live audience. In a moment when social media and TV are converging, we’re proud to provide a product that fuses the experience of broadcasting, gaming, performing and social networking, giving direct power to the people and enabling them to discover and create new kinds of interactive content in real-time. ",Angels,YouNow,,,A live video social network,,,,,"$15,000,000","Aug  1, 2014",,,,,Series A
,Web Development,Trust-Digital,,,,,,,,"$9,000,000","Nov  4, 2005","$14,500,000","Nov 14, 2008",,,Series A
,Health and Wellness,Simbionix,,,,,,,,,,"$7,000,000","Nov 12, 2008",,,Series C
,Manufacturing,Twist-Bioscience,"$10,000,000","Sep 30, 2014",Synthetic DNA for Health & Sustainability,,,"$9,100,000","Feb 10, 2014","$26,000,000","May 27, 2014",,,,,-
"A Leader and Innovator in E-commerce Performance Marketing Solutions.HookLogic partners with the world’s leading retailers, online travel agencies, and automotive companies to provide marketers unprecedented access to bottom of funnel shoppers and a clear view into resulting sales attribution.  The company’s high-performance vertical marketing programs accelerate sales for product brands, marketplace sellers, hoteliers, and automotive marketers.Since its founding in 2004, HookLogic has:-- Pioneered the practice of paid product listings on e-commerce sites, enabling sites to earn new revenue from paid media while providing high-performance,… · More closed-loop marketing for the brands and sellers within the sites.-- Transformed the test drive process in the automotive industry, enabling full tracking of shoppers from first touch to purchase across a broad network of dealerships, manufacturers, and third party marketing channels.",,HookLogic,,,Leader and Innovator in E-commerce Performance Marketing Solutions,,,"$9,500,000","Sep  9, 2011","$14,000,000","Sep  9, 2013",,,,,
"RadiumOne builds intelligent software that automates media buying, making big data actionable for marketers and connects them to their next customer.RadiumOne generates first-party data about actual customers -- from their behaviors, actions and interests demonstrated across the web and mobile.First-party data allows us to create accurate, transparent and scaled audiences for marketers so we can execute precise targeting and bid valuation to identify customers that are in-market for their products, putting the power back into the marketers’ hands.",Blogging Platforms,RadiumOne,,,,"$2,000,000","Sep  1, 2009","$12,500,000","Dec  1, 2009","$21,200,000","Mar 10, 2011",,,,,Series C
,E-Books,Little-Black-Bag,,,,,,"$2,800,000","Feb  2, 2012","$8,000,000","Aug 16, 2012",,,,,
"Pinpoint Software currently offers two software solutions, Date Check Pro and Taskle.Date Check Pro gives grocers the ability to be proactive in managing expired product by identifying close dated inventory allowing the retailer to re-merchandise those items and sell it while it's good. Currently Date Check Pro is used in over 50 locations and save the average grocer roughly $44,000 per store per year.Taskle re-imagines store walks to help retail and franchise companies better manage operations throughout their numerous locations. With Taskle, store walks are done digitally from a smartphone or tablet app. Data is uploaded to the cloud included any… · More added photos as visual evidence and converted into real-time management reports. These reports track trends and help identify where the company is excelling and where it needs improvement, whether that is at a single location or company wide.",Franchises,Pinpoint-Software,,,Grow Your Brand With Ours,,,"$125,000","Oct 15, 2011","$300,000","Dec  7, 2012",,,,,
Troux Technologies accelerates Business and IT transformation initiatives with leading Strategic IT planning and Enterprise Architecture software,Biotechnology,Troux-Technologies,"$10,000,000","Oct  8, 2009",,,,,,,,"$16,000,000","Jan 14, 2005",,,Series A
,-,AutoTask,,,,,,,,,,"$6,000,000","Jun 20, 2006",,,Series C
"Reachable enables people to create and join Contact Syndicates to accelerate the discovery of trusted contacts who can help them get their work done faster AND better.  Enterprise Syndicates solve the ""who knows who"" problem in the enterprise.  Venture Capital and Private Equity Syndicates help these investment firms leverage their contacts to help their portfolio companies generate sales and recruit talent, and to generate proprietary deals (= Alpha).  Non-Profit and Association Syndicates help them leverage the collective relationship power of their members to recruit new members, find donors, and run reference checks. Leveraging our inference engine and contact… · More data provided by our users and enterprises, we can map personal relationships of employees and B2B relationships of companies.  We are privacy minded, protect the data that our users upload into our analytics engine, and give them control and the ability to opt-in or opt-out.  Reachable is the ultimate employee benefit!",App Discovery,Reachable,"$750,700","Feb 20, 2013","Private, Customizable People Networks for Enterprises, Work Groups and Individuals",,,"$3,200,000","Sep  1, 2008","$5,600,000","Nov 10, 2010",,,,,Series A
,E-Commerce,Adaptive-Payments-India-Private,"$2,900,000","Jan 24, 2011",,,,,,"$4,900,000","Oct 16, 2012",,,,,-
,Enterprise Software,XVionics,,,,,,,,"$3,000,000","Nov  4, 2005",,,,,Series B
Imperva fills the gaps in traditional security by directly protecting high-value applications and data assets in physical and virtual data centers.,Clean Technology,Imperva,,,,,,,,,,"$17,000,000","May 17, 2006","$20,000,000","Apr  8, 2008",Series C
,Software,XMPie,"$2,000,000","Aug  1, 2006",,,,,,"$5,000,000","Nov  1, 2004",,,,,Series B
"Deliveroo is an integrated technology and logistics platform for premium food delivery.  We deliver higher-end restaurant food to customers' homes and offices in the UK.  Unlike the US, the UK does not offer high-quality restaurant food delivery due to cultural reasons as well as a more rigid labour structure.  Our technology eliminates the need for calls, faxes or emails.  Finally, we provide physical fulfillment of the product, allowing restaurants to focus on their core strengths.  From the customer's perspective, Deliveroo offers high-quality food from independents and chains (places the customer has already heard of) and transparent ordering tracking.",Biotechnology,Deliveroo,,,Delivering High Quality Restaurant Food,,,"$4,600,000","Jun 26, 2014","$25,000,000","Jan 29, 2015","$70,000,000","Jul 27, 2015",,,Series A
,Enterprise Software,Groxis,,,,,,,,"$4,000,000","Aug 28, 2006",,,,,Series B
,Biotechnology,Loxo-Oncology,,,,,,"$33,000,000","Oct  3, 2013","$24,000,000","May  6, 2014",,,,,Series B
,Databases,Funny-Or-Die,"$3,000,000","Dec 23, 2008",,,,Unknown,"Apr  1, 2007","$15,000,000","Dec  1, 2007",,,,,Series B
,Marketplaces,Wonga,,,,,,"$6,000,000","Jun  1, 2007","$22,250,000","Jun  8, 2009",Unknown,"Feb 16, 2011",,,-
"Our purpose is to enable people with life-altering conditions to lead better lives. Explore our pioneering therapies, vision, and values at shire.com.",Semiconductors,SARcode-Bioscience,"$29,000,000","Dec  1, 2006",,,,,,"$44,000,000","Jul 18, 2011",,,,,Series B
,Biotechnology,Acumen-Holdings,"$83,000,000","Apr  7, 2013",,,,,,"$5,000,000","Feb  2, 2012",,,,,-
,Biotechnology,VM-Discovery,,,,,,,,"$970,000","Jan  3, 2006","$12,600,000","Jul 23, 2014",,,Series B
,Public Relations,T-Networks,,,,,,,,,,"$5,800,000","Feb 28, 2005",,,Series C
"FreeWheel gives enterprise-level media companies the infrastructure they need to create scaled, profitable content businesses in the new media landscape.",Internet Marketing,Freewheel,"$8,300,000","Oct  1, 2012",,,,,,,,"$12,000,000","May  1, 2009",,,Series C
,Biotechnology,Cerevast-Therapeutics,"$1,800,000","Mar 26, 2014",,,,,,,,"$6,600,000","Dec 12, 2011",,,-
,Web Hosting,Glycos-Biotechnologies,"$40,300","Feb 11, 2014",,,,"$5,000,000","May  5, 2009","$4,200,000","Oct 20, 2010",,,,,Series A
,Marketing,Qteros,,,,,,Unknown,"Aug 14, 2007","$25,000,000","Nov 19, 2008","$22,000,000","Jan  5, 2011",,,-
,Technology,Double-Fusion,"$3,000,000","Mar 22, 2010",,,,,,"$10,000,000","Nov 11, 2005","$26,000,000","Jan  1, 2006",,,Series B
,Software,Mistral-Solutions,,,,,,,,"$6,500,000","Feb  6, 2008",,,,,Series B
"Leading social media platform for the enterprise. Tracx SMMS: unified social media management, monitoring, engagement, analytics, and actionable data.",Brand Marketing,Tracx,,,,,,,,"$4,400,000","Feb 16, 2012",,,,,Series B
,Shopping,Wize,,,,,,"$4,000,000","Jan  1, 2007","$988,000","Jan  1, 2008",,,,,Series B
,Location Based Services,Tupalo,,,,Unknown,"Jan  1, 2008",Unknown,"Jun  2, 2009",Unknown,"May  1, 2010",,,,,Series B
,Enterprise Software,Valen-Technologies,"$7,500,000","Sep  7, 2011",,,,,,,,"$6,500,000","Nov 13, 2007",,,Series C
"Birchbox is a leading beauty and grooming retailer, offering an efficient, personalized way to discover and shop for new products. Birchbox redefined the online shopping experience by pairing a monthly subscription of deluxe samples - tailored to customers' unique profiles - with inspiring editorial content to create a seamless path to purchasing full-size products online. More than 800 best-in-class brands are available on Birchbox's e-commerce shop. In 2012, Birchbox launched Birchbox Man and expanded internationally. Birchbox opened its first brick-and-mortar store in Soho, New York in 2014.",,Birchbox,,,,"$1,400,000","Oct 27, 2010","$10,500,000","Aug 17, 2011","$60,000,000","Apr 21, 2014",,,,,
,Biotechnology,AutekBio,,,,,,"$1,100,000","Aug  7, 2007","$1,000,000","Oct 22, 2007",,,,,Series A
,Biotechnology,Dxterity,"$2,600,000","Jan 17, 2012",,,,"$56,300","Oct 14, 2009","$790,000","May 11, 2010",,,,,Series A
,-,Rui-Yi,,,,"$4,000,000","Jun 11, 2014",,,"$15,000,000","Mar 27, 2014",,,,,Series B
"Get All the Best Daily Deals in Your City. 50% to 90% off deals on restaurants, spas, home services and more.",,Yipit,,,Get All the Best Daily Deals in Your City,"$250,000","Apr  4, 2010","$1,300,000","Jun  6, 2010","$6,000,000","Jun  6, 2011",,,,,
,Biotechnology,Sophia-Genetics,,,,,,,,"$13,800,000","Jul  7, 2014",,,,,Series B
"At TravelBird we change the way people experience travel. We surprise our customers every day with the best travel deals and make booking and travelling simple and easy so travellers can enjoy their carefree holiday. Our story began in Amsterdam back in 2010, with one travel deal. Now, after 5 years we operate in 17 European countries. More than 2,500,000 people have travelled with TravelBird and every day 15,000 travellers enjoy an unforgettable journey with us. Today we operate out of a large office in the city centre of Amsterdam and day in day out we aim to deliver the best holiday experience, together with over 650 enthusiastic and international employees which we call… · More ""Birdies"".We are constantly on the hunt for outstanding talent. Interested in surprising and inspiring more people? Have a look at our career page at: http://jobs.travelbird.com/",Online Travel,TravelBird,,,Online Travel Deals,,,"$5,600,000","Mar 26, 2014","$26,500,000","Nov 19, 2014",,,,,Series B
,Software,SPS-Commerce,,,,,,,,"$18,000,000","May 19, 2003",,,,,Series B
"QuantiaMD is the largest social learning and collaboration platform for physicians. Today, 1-in-3 U.S. physicians visit QuantiaMD, online and through their phones, to keep up with new information and to learn from their colleagues. QuantiaMD members share real-life experiences from clinical practices nationwide, and engage directly with healthcare institutions to meet a variety of objectives that reduce costs and improve the quality of care.",Health Care,QuantiaMD,"$12,000,000","Mar 21, 2013",The largest social learning and collaboration platform for physicians.,,,"$12,000,000","Oct 30, 2012","$10,000,000","Sep 12, 2013",,,"$4,600,000","Mar 30, 2009",-
,Public Relations,Envox-Group,,,,,,,,"$5,300,000","Oct  9, 2005",,,,,Series B
"TinderBox is a web-based solution that makes it easy for sales and marketing teams to streamline their presentation, proposal, and contract processes. With TinderBox, you can create and collaborate on sales content, track real-time prospect activity, and refine your most effective content, while maintaining brand consistency. TinderBox clients close more deals faster, impacting long-term revenue growth.",SaaS,TinderBox,"$2,000,000","Feb 18, 2014",Cloud-based sales content management,,,,,"$1,300,000","Feb 25, 2013","$3,000,000","Mar 26, 2014",,,Series A
